City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Englewood ,http://quickfacts.census.gov/qfd/states/34/3421480.html,Bergen County,New Jersey,city,F,2.57,31.8,22.2,32.6,410100,F,49.6,10477,45.3,739,87.8,19.2,27147,21480,3759,11.6,6.6,3.7,14.2,468198,1,5524.4,933815,30.8,8.8,55.5,1004477,Z,16.5,89.5,10695,1.4,27.5,36307,0.5,34.3,27413,27533,42589,8.1,46.4,30.8,31.2,69557,52.6,27147,43791,4.91
Pineville ,http://quickfacts.census.gov/qfd/states/22/2260530.html,Rapides Parish,Louisiana,city,F,2.41,3.6,22.9,30.8,121000,F,32.6,5160,64.6,1461,80.9,F,14555,60530,1247,19.7,6.8,1.9,13,0,Z,1152.1,59077,22.6,F,51.7,294473,0.1,10.8,79.3,6105,-0.2,2.6,20131,0.5,6.3,14514,14475,21738,1.5,23,20.6,62.9,40473,51.2,14508,30297,12.63
Mammoth Lakes ,http://quickfacts.census.gov/qfd/states/06/0645358.html,Mono County,California,town,F,3.2,21.7,20.9,0.4,574900,F,66.4,2503,80.7,340,82.9,S,8234,45358,1505,12.1,6.3,2.8,6.5,0,0.1,331.1,2054,24.9,F,46,129424,0.1,F,68.2,9626,-2,33.7,17594,0.6,27.5,8240,8073,24169,1.6,31.1,13.3,62.5,59972,45.2,8234,187425,24.87
Clinton ,http://quickfacts.census.gov/qfd/states/17/1715001.html,De Witt County,Illinois,city,F,2.21,3.2,23.5,0.9,85800,F,18.3,3053,95.5,671,88,F,7225,15001,635,13.9,6.2,1.5,17.6,0,-0.8,2136.9,125708,S,F,67.7,141033,0.1,F,83.8,3397,-1.2,3.1,19775,0.2,5.4,7182,7150,27505,0.4,14.4,19.6,94.1,41719,51.6,7237,10807,3.38
Springdale ,http://quickfacts.census.gov/qfd/states/05/0566080.html,Benton County,Arkansas,city,S,3,24.4,32.6,1.8,136300,F,33.9,23037,64.7,3253,69.7,10.4,69797,66080,5064,23.2,10.3,2.9,8.8,2131650,4,1669.8,865169,22.8,1.6,53.1,875202,5.7,S,76.2,25614,6.3,35.4,13050,1,38.7,73588,75229,18474,2,17.5,18.6,52.7,40103,50.3,70747,105925,41.8
Northwood ,http://quickfacts.census.gov/qfd/states/39/3957190.html,Wood County,Ohio,city,F,2.45,0.8,24.1,0.7,113000,F,6.2,2153,94.3,516,88.1,F,5265,57190,546,9.7,5.1,2.1,11.5,686068,1.6,617.7,282616,14.5,F,86.6,108553,0,F,93.1,2135,2.2,5.8,19601,0.6,2.4,5302,5335,24589,1.1,11.2,19.4,90.4,48815,51,5221,17220,8.52
Millington ,http://quickfacts.census.gov/qfd/states/47/4749060.html,Shelby County,Tennessee,city,F,2.48,4.9,24.2,25.6,135400,F,20.7,4054,65.2,1368,87,F,10176,49060,708,13.2,6.8,3.1,14.8,0,0.3,321.7,D,S,9.7,55,306861,0.2,S,76.4,4408,-0.4,5.9,27861,0.6,7.5,11179,11107,24494,2.4,17,24.5,62.9,48832,51.9,11149,41220,31.63
Huber Heights ,http://quickfacts.census.gov/qfd/states/39/3936610.html,Greene County,Ohio,city,F,2.58,5.4,25.4,13,111300,F,15.9,14753,79.6,4616,90.8,F,38101,36610,2397,9.4,6.8,3.5,12.9,432771,0.1,1710.7,233093,30.2,S,70.3,377282,0.1,5.3,86.2,15875,0.1,3.1,10095,0.3,7.6,38139,38142,24860,2.5,21.7,22.7,77.9,53109,51.7,38101,55649,22.27
Ellsworth ,http://quickfacts.census.gov/qfd/states/23/2323200.html,Hancock County,Maine,city,F,2.11,3.8,21.5,0.7,179000,F,15.6,3535,96.7,657,88.3,F,7741,23200,1673,9,5.9,0.9,16.1,0,1.1,97.6,40139,20.7,F,68.5,469541,0.1,F,82.6,4240,1.7,1.4,66470,0.4,4.4,7825,7875,27850,1.1,30.4,22.7,95.7,47799,52.5,7741,29314,79.28
Manitowoc ,http://quickfacts.census.gov/qfd/states/55/5548500.html,Manitowoc County,Wisconsin,city,F,2.19,3.9,22.2,1,109400,F,31.9,14926,89.9,3089,88.4,3.2,33736,48500,1973,11.4,6.2,1.9,18.8,1995179,-0.9,1913.7,170821,24.8,F,66.2,529366,Z,2.5,90.3,15955,-1.2,5,16060,0.6,9.3,33440,33335,25309,4.6,20.4,16,87.6,42579,51.8,33743,57354,17.63
The Dalles ,http://quickfacts.census.gov/qfd/states/41/4172950.html,Wasco County,Oregon,city,F,2.24,7.2,23.8,0.5,179200,F,23.4,5824,87.9,1661,86.3,F,13620,72950,1089,14.7,7,2.7,17.9,0,1.3,2146.2,180074,25.1,F,63,354428,0.8,F,84.4,5903,1.4,17,29200,1.5,11.8,15135,15158,23369,1,21.6,13.9,77.7,41639,51.6,14945,37392,6.35
Tahlequah ,http://quickfacts.census.gov/qfd/states/40/4072100.html,Cherokee County,Oklahoma,city,27.6,2.48,5.1,21.2,2.4,115300,F,34.8,5716,53.8,1127,85.9,F,15753,72100,1324,32.8,6.8,8.7,12.6,0,3.7,1265.4,33446,26.6,F,43.4,293997,Z,F,77,6857,3.9,9.8,18252,30,7.6,16324,16359,16330,1.3,32.3,16.6,49.8,27391,51.6,15739,34954,12.45
Marion ,http://quickfacts.census.gov/qfd/states/18/1846908.html,Grant County,Indiana,city,F,2.18,2,21.1,14.7,65500,F,25.7,12248,78.1,2557,80.6,S,29948,46908,2098,23.7,6.4,3.6,16,1171780,-0.9,1906.2,94987,S,S,55.8,606977,Z,3.1,81.1,13715,-1.2,5.5,19994,0.4,3.8,29636,29558,17776,0.7,15.4,16.2,75.8,30665,53,29920,68565,15.71
Bernalillo ,http://quickfacts.census.gov/qfd/states/35/3506970.html,Sandoval County,New Mexico,town,10,2.73,14.3,24.2,0.9,115100,F,4.4,2930,63.2,559,77.7,25.2,8320,6970,481,24.1,6.5,2.2,13.4,0,0.4,1741.3,28506,36.2,F,73.7,74268,0.1,F,84.3,3207,0.2,69.8,9411,5.3,49.4,8356,8338,20546,0.5,16.2,21.8,23.5,42182,49.5,8320,33811,4.78
Athens ,http://quickfacts.census.gov/qfd/states/39/3902736.html,Athens County,Ohio,city,F,2.49,8.2,5.8,4.4,164100,F,58,6497,86.4,421,92.5,S,23832,2736,1254,56.8,1.9,2.3,4.3,0,0.8,2425.2,21740,S,S,31.9,357670,Z,S,44.6,7391,1.2,2.4,16534,0.2,8.9,24028,24122,12351,6.1,63.8,13.9,84.7,18428,50,23832,62795,9.83
Oakland Park ,http://quickfacts.census.gov/qfd/states/12/1250575.html,Broward County,Florida,city,F,2.38,31.2,20.1,25.6,160200,F,50.6,17413,62.6,2368,83.9,18.7,41363,50575,6904,15.8,6.3,3.5,9.7,246730,3.5,5545.4,430398,28.3,3,59.4,594304,0.1,14,79.8,20076,4.6,25.6,14209,0.3,40.4,42854,43286,25155,2,23.7,25.3,45.1,44686,46.5,41394,82727,7.46
East Rochester ,http://quickfacts.census.gov/qfd/states/36/3622865.html,Monroe County,New York,village,F,2.21,6.6,22.3,3.2,95600,F,31.2,2943,91.8,519,89.7,F,6587,22865,794,15,6.1,2.7,12.1,0,0.1,4971.3,D,S,F,66,293870,Z,F,92.2,2992,-0.1,5.1,46847,0.2,8.1,6595,6582,24288,0.9,24.9,15.8,88.5,47105,50.9,6587,8293,1.33
Lakeville ,http://quickfacts.census.gov/qfd/states/27/2735180.html,Dakota County,Minnesota,city,S,2.96,5.7,31.8,2.5,251800,F,5.8,18840,89.3,3333,96.7,S,55954,35180,5085,4.3,7.4,2.5,5.8,714331,2.4,1551.9,255111,29.8,3,88.9,536860,Z,S,90.8,19456,4.7,3.5,9991,0.4,7.2,57317,58562,36699,4.1,45,26,87.3,92989,49.9,55954,54403,36.06
Laguna Woods ,http://quickfacts.census.gov/qfd/states/06/0639259.html,Orange County,California,city,F,1.41,22.8,0.3,0.7,205700,F,64.7,11527,87.3,3113,94,S,16192,39259,1202,9.9,0.1,1.2,79.5,0,1.7,5198.1,D,38.1,S,74.8,110735,0.1,F,87.6,13016,2.1,4,6159,0.1,19,16332,16400,37966,10,41.8,22.9,84,36818,64.5,16055,20291,3.12
Three Rivers ,http://quickfacts.census.gov/qfd/states/26/2679760.html,St. Joseph County,Michigan,city,F,2.56,1.8,28.5,10.1,77500,F,26,2974,82.6,444,84.2,F,7811,79760,545,26.6,8.8,4,12,946961,-0.8,1446.5,27765,S,F,57.7,197568,0,S,88.9,3519,-0.7,5.2,27574,0.6,6,7752,7756,17683,0.9,9.8,20.4,80.1,35718,52.3,7811,17542,5.4
Hartsville ,http://quickfacts.census.gov/qfd/states/45/4532560.html,Darlington County,South Carolina,city,F,2.29,2.8,24.3,46.3,118400,F,29.7,3186,51,592,82.1,F,7764,32560,955,21.2,7.4,1,16.2,D,1.5,1356.6,74424,30.5,F,50.6,135643,0.1,S,81.7,3704,1.4,1.5,18357,0.2,3.6,7892,7886,23550,0.8,30.4,17.4,50.3,38780,55.6,7776,23462,5.72
Parker ,http://quickfacts.census.gov/qfd/states/08/0857630.html,Douglas County,Colorado,town,S,2.85,4,32.9,1.5,286300,F,19.4,15821,90.1,2707,97.4,5.9,45297,57630,5627,4.6,8.7,2.9,4.8,0,4.2,2212.3,127903,28.4,3.7,77.5,629440,0.1,S,83.5,16533,7.3,8.2,14749,0.5,7.3,47208,48608,35677,3.2,49.8,27.6,84.5,95618,50.6,45297,87886,20.48
Chamblee ,http://quickfacts.census.gov/qfd/states/13/1315172.html,DeKalb County,Georgia,city,F,2.57,37.7,19.4,7,248000,F,57.8,5167,45.1,365,73.4,5.7,9892,15172,1722,21.2,8.9,4.1,4.9,188679,2,3114.6,230925,28.7,16.9,42.9,473015,Z,S,84.4,3745,2.8,58.5,43072,2.1,46.7,15828,15948,29322,8,40.8,26.5,26.2,49505,36.9,15518,32162,3.18
Westville ,http://quickfacts.census.gov/qfd/states/18/1883420.html,LaPorte County,Indiana,town,F,2.63,2.4,12,25.1,99100,F,6.3,715,72.1,360,70.3,F,5853,83420,240,16.3,3.4,0.7,5.5,0,3.1,1895.4,D,S,F,77.5,29624,0,F,64.3,1186,1.8,6.3,5682,0.2,4.8,6037,5956,8494,0.3,6.7,23.9,67.8,52127,23.1,5853,5953,3.09
Oxford ,http://quickfacts.census.gov/qfd/states/37/3749800.html,Granville County,North Carolina,city,F,2.54,2.5,23.4,55.6,130800,F,26.5,3119,38.6,673,78.4,F,8461,49800,918,23.6,6.8,1.8,19.4,D,1.8,1399,46408,S,S,51.8,145599,0,S,87.9,3771,2.7,4.8,17041,0.4,4.4,8616,8695,21670,1.1,18.4,23.5,37.1,31998,55.7,8465,27691,6.05
Marysville ,http://quickfacts.census.gov/qfd/states/06/0646170.html,Yuba County,California,city,F,2.55,8.8,25.1,4.3,145400,F,37.6,4532,71,1089,78.2,S,12072,46170,1084,26.4,7.7,7.4,12,0,0.6,3485,147740,41.5,S,42.9,313155,0.3,F,63.6,5196,1.2,24.2,26638,2.5,18.2,12142,12213,18793,4.1,9,22,61.3,34351,50.1,12072,30886,3.46
Milan ,http://quickfacts.census.gov/qfd/states/47/4748660.html,Gibson County,Tennessee,city,F,2.54,1.1,26.5,22.8,88300,F,20.1,2991,73.5,551,85.2,F,7851,48660,431,30.6,6.8,2,17.9,228205,-0.3,881.7,49504,21.3,F,61.3,132222,0,F,77.4,3581,-0.9,2.5,16917,0.3,2.3,7825,7779,17585,0.4,19,23.5,72.2,32108,54.4,7851,12621,8.9
Picnic Point ,http://quickfacts.census.gov/qfd/states/53/5354213.html,Snohomish County,Washington,CDP,F,2.78,16,24,2.5,361900,F,8.4,3182,75.9,708,95.1,F,8809,54213,F,7.4,5.7,5.2,9.7,0,X,2900.6,0,F,F,73.9,0,0.3,F,87.2,3300,X,5.7,NA,1,17.7,X,X,34573,13.4,37.6,28.8,72.8,90693,50.2,X,0,3.04
Deming ,http://quickfacts.census.gov/qfd/states/35/3520270.html,Luna County,New Mexico,city,S,2.76,16.7,27.6,1.5,94700,F,16.9,5262,76.6,1038,67.3,39.9,14855,20270,949,32.1,8,2.6,18.5,D,-0.6,914.8,57660,24.4,S,58.5,195392,0.1,F,80.4,6226,-1.6,68.6,12769,1.3,54.2,14763,14609,13873,0.6,11.3,17.9,28.8,26767,50.8,14848,D,16.24
Layhill ,http://quickfacts.census.gov/qfd/states/24/2446150.html,Montgomery County,Maryland,CDP,F,3.28,38.1,22.5,34.9,454700,F,4.9,1659,38.2,337,85.5,F,5169,46150,F,6.2,5.6,3.6,13.8,0,X,3288.2,0,F,F,90.6,0,0,F,92.5,1775,X,17.6,NA,0.2,45.7,X,X,45534,15.5,53.2,37.8,30,120184,52.6,X,0,1.57
Greenbriar ,http://quickfacts.census.gov/qfd/states/05/0528510.html,Faulkner County,Arkansas,city,F,2.68,2.3,30.6,0.8,119900,F,8.7,1759,94.7,329,88.7,F,4706,28510,F,7.5,9.2,2.1,10.2,0,6.1,594.3,0,F,F,72.9,0,0,F,85.8,1867,8.5,3.4,NA,0.7,5.8,5000,5111,22504,0.5,17.9,30.4,92.6,54475,51.1,4712,0,7.91
Stevensville ,http://quickfacts.census.gov/qfd/states/24/2475025.html,Queen Anne's County,Maryland,CDP,F,2.89,3.3,27.5,2.3,344600,F,5.3,2285,93.8,484,95.1,F,6803,75025,643,3.5,5.2,1.5,8.1,0,X,1057.2,D,26,F,87.1,77606,0,F,90.1,2644,X,2.6,NA,0.3,4.5,X,X,36358,1.5,27.7,31.7,92,93456,49.8,X,16477,6.44
Seward ,http://quickfacts.census.gov/qfd/states/31/3144420.html,Seward County,Nebraska,city,F,2.41,1.5,22.6,0.6,134900,F,20.3,2464,96.8,311,91.9,F,6964,44420,412,5.7,6.3,1.4,15.1,D,1.6,1629.8,37547,S,F,71.1,56981,Z,F,79.8,2796,2.2,1.9,8482,0.4,3.2,7074,7120,25299,0.6,29.9,17.7,95.4,60649,51.9,6964,10439,4.27
Shaker Heights ,http://quickfacts.census.gov/qfd/states/39/3971682.html,Cuyahoga County,Ohio,city,F,2.49,8.8,26.7,37.1,231400,F,39.6,11294,55,1567,96.1,S,28448,71682,3291,9.3,6.1,2.7,15.5,0,-1.4,4528.5,6713,32,S,61.9,134742,Z,S,88.8,13318,-1.8,2.2,5047,0.1,10.7,28049,27935,49215,4.6,65.6,22.9,53.7,77198,54.8,28448,19080,6.28
Kings Grant ,http://quickfacts.census.gov/qfd/states/37/3735870.html,New Hanover County,North Carolina,CDP,F,2.55,10.4,20.3,14.3,169400,F,8.7,3211,77.8,775,86.4,F,8113,35870,947,9.9,6,1.9,11.6,0,X,1787.8,180991,23.1,S,68.4,59103,0.1,S,84.2,3497,X,6.8,NA,0.7,13.1,X,X,26089,1.1,26.4,17.7,75.3,53118,50.1,X,5364,4.54
Forest ,http://quickfacts.census.gov/qfd/states/28/2825340.html,Scott County,Mississippi,city,F,2.83,15.6,28.7,48.5,78600,F,19.3,1926,31.3,235,67.3,F,5684,25340,461,24.8,9.1,2.2,11.5,D,0.7,434.6,26787,S,F,59.8,153725,0.8,S,84.6,2135,0.7,23.7,25434,0.4,24.3,5724,5725,18775,0.2,12.5,15.7,27.1,38092,50.7,5684,14551,13.08
Atoka ,http://quickfacts.census.gov/qfd/states/47/4702340.html,Tipton County,Tennessee,town,F,2.89,3.3,31.9,11,175200,F,4.5,2894,84.5,968,93.4,F,8387,2340,418,6,7.8,2.2,6.9,0,4.4,680.3,D,S,S,82.3,50178,0.1,F,90.4,2795,5.5,2.6,7276,0.5,3.7,8751,8844,28901,1.4,21.7,34.4,82.7,80369,51.2,8379,10019,12.33
Closter ,http://quickfacts.census.gov/qfd/states/34/3413810.html,Bergen County,New Jersey,borough,F,2.97,34.1,26.7,1.3,698500,F,7.8,2808,64.2,354,95,S,8373,13810,1214,3.4,4,1.3,13.5,0,1.6,2646.3,248377,S,29,83.8,122479,Z,S,92.4,2860,2.1,6,14273,Z,45.8,8511,8545,49202,31.6,59.2,35,59.9,117188,51,8373,20615,3.16
Morgantown ,http://quickfacts.census.gov/qfd/states/54/5455756.html,Monongalia County,West Virginia,city,F,2.25,5.2,8.2,4.1,172000,F,51.6,10215,89.7,1287,91.5,F,29660,55756,2705,36.7,2.7,2,8.1,0,5,2917,53302,24.9,4,39.2,743252,0.1,3.2,61.7,12664,6.4,2.6,25360,0.1,7.1,30273,30666,19437,3.4,47.6,16.4,87.9,27737,46.5,28827,118207,10.17
Glenolden ,http://quickfacts.census.gov/qfd/states/42/4229720.html,Delaware County,Pennsylvania,borough,F,2.33,8.3,21.9,8.5,171300,F,37.7,3066,86.9,418,90.7,F,7153,29720,503,7.6,5.6,2.4,13.1,0,0,7336.4,D,S,F,64.3,130429,0.1,F,87.3,3105,0.1,2.2,18000,0.1,6.8,7153,7162,27077,1.7,21.5,24,85.5,51910,52.3,7153,6228,0.98
Hooper ,http://quickfacts.census.gov/qfd/states/49/4936400.html,Weber County,Utah,city,F,3.27,1.7,35,0.4,261000,F,0,2211,94.6,634,94.2,F,7218,36400,F,4.5,9.3,1.8,6.7,0,6.9,268.5,0,F,F,97,0,0.1,F,91,2156,10.2,5.3,NA,0.6,5,7718,7957,25011,0.9,18.7,25,91.6,78940,49.3,7218,0,26.88
Northgate ,http://quickfacts.census.gov/qfd/states/39/3956553.html,Hamilton County,Ohio,CDP,F,2.63,2.6,25.6,16.7,127500,F,9.5,2576,78.8,622,88.8,F,7377,56553,594,3.9,5.8,2.1,13.5,0,X,2915.8,D,28.8,F,85.2,320599,0.3,S,92,2836,X,1.3,NA,0.1,3.4,X,X,26861,1.4,19.1,24.1,78.3,54858,51.5,X,29622,2.53
Buena Vista ,http://quickfacts.census.gov/qfd/states/51/5111032.html,Buena Vista city,Virginia,city,F,2.29,0.6,21.4,5.2,121100,F,15.8,2732,91,483,74,F,6650,11032,448,19.9,6.2,1.7,16.1,202807,1.8,991.9,D,31.5,F,66.6,30610,0.2,F,75.6,2936,0.5,1.5,4900,1.1,3.3,6772,6680,19014,0.4,15.3,15.8,90,35921,53.5,6650,D,6.7
Menlo Park ,http://quickfacts.census.gov/qfd/states/06/0646870.html,San Mateo County,California,city,S,2.49,24.4,24.4,4.8,0,F,36.7,12554,70.2,1601,92,S,32026,46870,4691,6.5,7.7,4.5,14.3,1095007,2.5,3271.3,411044,24.5,12.6,56.3,354304,1.4,S,85.2,13085,3.3,18.4,11988,0.5,30.3,32824,33071,67072,9.9,69.2,21.8,62,113774,51.6,32026,91997,9.79
Durango ,http://quickfacts.census.gov/qfd/states/08/0822035.html,La Plata County,Colorado,city,1.8,2.19,2.8,15.7,0.6,357700,F,36.3,6849,85.1,1019,94.3,S,16887,22035,3856,13.9,4.7,3,9.7,0,2.4,1701.6,172891,26.6,S,50.6,645329,Z,F,68.6,7851,3.9,12.3,40285,6.3,10,17290,17557,29656,0.8,50,14.7,78.6,53173,49,16891,128091,9.92
Columbia ,http://quickfacts.census.gov/qfd/states/47/4716540.html,Maury County,Tennessee,city,F,2.44,4.4,24.7,20.8,115600,F,24.7,13862,72.1,2226,82.7,1.1,34681,16540,2880,23.2,7.6,2.4,14.3,D,0.8,1099.7,194339,23.4,2.2,58.4,742965,Z,S,80,15906,2.5,7,21696,0.3,6.9,34958,35558,19278,0.8,15,23.4,69.3,34751,53.2,34681,81799,31.54
St. John ,http://quickfacts.census.gov/qfd/states/29/2964478.html,St. Louis County,Missouri,city,F,2.42,2.3,24.1,24.3,92000,F,6.4,2668,67.4,585,85.6,F,6517,64478,433,17,6.6,3.3,12.3,0,-0.3,4595.9,407457,S,F,70.4,34199,0.1,S,88.7,2953,-0.5,6.8,5321,0.4,5.5,6495,6486,20615,1.8,12.7,22.2,64.3,36958,52,6517,3988,1.42
Gold Canyon ,http://quickfacts.census.gov/qfd/states/04/0428140.html,Pinal County,Arizona,CDP,F,2.12,6.9,10.2,1,261000,F,3.9,4828,94.6,1815,95.8,S,10159,28140,825,5.5,2.5,1.6,38.7,0,X,453.7,3966,25.3,F,89.3,40731,0.1,3,87.6,6874,X,5.5,NA,0.4,8.1,X,X,40042,0.8,33.9,33.5,91,64927,51.9,X,9288,22.39
Alexander City ,http://quickfacts.census.gov/qfd/states/01/0101132.html,Tallapoosa County,Alabama,city,F,2.5,3.8,23.5,32,98100,F,18.3,5817,62.2,1210,73.8,F,14875,1132,1636,27,6.8,0.9,17.5,D,-0.8,364.2,D,32.4,S,56.6,228733,Z,S,80,6834,Z,4.8,15244,0.2,4.1,14752,14876,18185,0.9,15.3,19.7,61.4,33373,52.7,14875,18806,40.84
Easton ,http://quickfacts.census.gov/qfd/states/42/4221648.html,Northampton County,Pennsylvania,city,F,2.46,11.1,22.4,16.8,136300,F,39.3,9380,67.2,1410,78.2,S,26800,21648,2268,22.5,6.8,4.9,10.3,299655,1.3,6581.5,238907,18.8,S,49.4,268379,0.1,S,69.4,10356,1,19.9,10209,0.4,18.7,27146,27073,19700,2.4,18.4,26.8,58.6,40076,49.6,26800,50065,4.07
La Plata ,http://quickfacts.census.gov/qfd/states/24/2445750.html,Charles County,Maryland,town,F,2.58,3.9,24.4,26.7,335800,F,17.2,3085,66.3,795,91,F,8753,45750,909,11,5.8,3,13.4,0,2.2,1183.6,D,S,F,75.5,290321,0.1,S,80.9,3234,3.3,3.2,33010,0.5,7.3,8934,9029,40157,2.7,29.4,37.4,64.5,94708,51.7,8743,30042,7.4
Monett ,http://quickfacts.census.gov/qfd/states/29/2949196.html,Barry County,Missouri,city,4.2,2.84,9.6,27.8,0.8,107700,F,21.1,3066,86.8,657,76.2,4.9,8873,49196,862,24.5,8.9,1.9,14.5,1029505,0.8,1052.3,103956,S,4.2,59.2,151847,0.1,F,77.5,3828,0.8,19,17348,0.9,20,8942,8940,18412,1,19.3,16.1,77.4,38750,51.9,8870,13612,8.43
Truth or Consequences ,http://quickfacts.census.gov/qfd/states/35/3579840.html,Sierra County,New Mexico,city,F,2.51,1.6,17.1,0.6,88600,F,17.1,2484,85.7,1066,82.9,18.1,6475,79840,454,33.9,5.7,3.7,28.8,0,-0.8,234.9,0,25.3,F,63,65636,Z,F,85.5,4226,-3.5,28.2,9510,1.9,18.6,6421,6246,13405,0.5,16.7,12.7,67.8,21775,50.6,6475,12367,27.57
Thibodaux ,http://quickfacts.census.gov/qfd/states/22/2275425.html,Lafourche Parish,Louisiana,city,F,2.48,1.7,20.9,32.8,152800,F,27.8,5248,63.7,647,78.3,F,14566,75425,1467,19.3,6.3,1.3,14.6,D,Z,2417.2,275002,22.2,S,56.9,357068,Z,5.6,81,6324,Z,2,25371,0.6,9.5,14575,14565,24686,1,23.5,21.5,62.6,42435,53.9,14571,50767,6.03
Berwick ,http://quickfacts.census.gov/qfd/states/42/4205888.html,Columbia County,Pennsylvania,borough,F,2.39,4,22.7,1.5,95100,F,29.4,4338,94.4,753,77.8,F,10477,5888,1035,12.9,6.2,1.6,17.8,555691,-0.9,3406,14066,S,F,54.7,127907,0,F,92.5,5035,-1.3,3.7,12515,0.2,7.7,10385,10343,19041,0.8,13.7,20.5,92.6,35212,52.3,10475,11724,3.08
Fayetteville ,http://quickfacts.census.gov/qfd/states/47/4725920.html,Lincoln County,Tennessee,city,F,2.12,2.4,21.7,23.7,96800,F,29.1,3045,71.6,522,76.6,F,6827,25920,715,27.3,6.8,2,22.5,D,3.9,626.4,127573,S,F,56.4,252407,0.1,F,83.9,3382,4.5,3.4,35676,0.4,2.7,7084,7124,20508,0.6,17.5,17.7,70.2,27724,54.9,6817,23333,10.9
Nashville-Davidson ,http://quickfacts.census.gov/qfd/states/47/4752006.html,Davidson County,Tennessee,balance,0.6,2.36,12,21.7,28.4,165000,0.1,37.6,246980,60.5,37599,85.6,3,601222,52006,61671,19,7.2,2.5,10.2,6452038,3.6,1265.4,10837514,26.8,3.5,54.9,10272149,0.1,11.4,78.7,272622,5.1,10,17337,0.3,15.9,624993,634464,27369,3.1,34.3,23.2,56.3,45982,51.5,603527,2126158,475.13
Ralston ,http://quickfacts.census.gov/qfd/states/31/3140605.html,Douglas County,Nebraska,city,F,2.42,8.7,22.2,2.6,129100,F,25.1,2616,89.7,615,90.7,F,5943,40605,485,4.9,6.5,1.9,16.3,0,20.9,3615,25793,23.7,F,73.4,62935,Z,F,87.1,2711,21.5,10,10309,0.4,16.7,7187,7220,27645,0.8,24.6,17.6,85.4,55000,50.9,5943,15616,1.64
The Hammocks ,http://quickfacts.census.gov/qfd/states/12/1271569.html,Miami-Dade County,Florida,CDP,S,3.27,51.2,23.3,6.1,235200,F,29.9,16159,85,1285,89.1,69.2,51003,71569,6337,13,5.4,2.9,9.8,0,X,6470,25188,26.7,S,65.3,264148,Z,S,86.4,17565,X,76.9,NA,0.2,81.1,X,X,22539,3.1,32.1,35.8,14,57794,52.5,X,25164,7.88
Rock Hill ,http://quickfacts.census.gov/qfd/states/45/4561405.html,York County,South Carolina,city,F,2.42,4.9,24.4,38.3,134000,F,34.4,26063,54.6,4580,85.6,1.8,66154,61405,4532,18.5,7.4,2.1,10.4,1145114,2.6,1851.9,425813,31.2,2.6,52.9,1059839,0.1,15.8,77.2,29159,3.9,5.7,16237,0.5,7.4,68258,69103,21954,1.7,27.3,21.7,52.3,41056,54,66520,157938,35.72
Kutztown ,http://quickfacts.census.gov/qfd/states/42/4240656.html,Berks County,Pennsylvania,borough,F,2.52,2.3,11.8,1.4,184800,F,34.7,1807,95.8,183,89.7,F,5012,40656,607,22.8,3.6,1,16.9,0,0,3063.6,117810,33.3,F,54.2,81409,0,F,71.3,2187,0.1,2.6,16149,0,9.4,5002,5008,22862,1,33.2,23.1,94.3,46081,51.8,5002,7700,1.64
